11:00:16,925,349,,,,
11:00:17,925,349,,,,
11:00:18,925,349,,,,
11:00:19,925,349,,,,
11:00:20,925,349,,,,
11:00:21,925,349,,,,
11:00:22,925,349,,,,
11:00:23,925,345,,,,
11:00:24,925,345,,,,
11:00:25,925,345,,,,
11:00:26,925,345,,,,
11:00:27,925,345,,,,
11:00:28,925,345,,,,
11:00:29,919,345,,,,
11:00:30,919,345,,,,
11:00:31,919,345,,,,
11:00:32,919,351,,,,
11:00:33,919,351,,,,
11:00:34,921,341,,,,
11:00:35,921,341,,,,
11:00:36,921,341,,,,
11:00:37,931,341,,,,
11:00:38,931,341,,,,
11:00:39,931,341,,,,
11:00:40,931,341,,,,
11:00:41,931,367,,,,
11:00:42,931,367,,,,
11:00:43,931,367,,,,
11:00:44,931,367,,,,
11:00:45,931,367,,,,
11:00:46,931,367,,,,
11:00:47,931,367,,,,
11:00:48,931,367,,,,
11:00:49,931,367,,,,
11:00:50,931,367,,,,
11:00:51,931,367,,,,
11:00:52,931,367,,,,
11:00:53,931,367,,,,
11:00:54,931,367,,,,
11:00:55,713,611,,,,
11:00:56,40,225,,,,
11:00:57,40,24,,600,,200
11:00:58,40,24,,,,
11:00:59,40,24,,,,
11:01:00,40,24,,,,
11:01:01,40,24,,,,
11:01:02,40,24,,,,
11:01:03,40,24,,,,
11:01:04,40,24,,,,
11:01:05,40,24,,,,
11:01:06,40,24,,,,
11:01:07,40,24,,,,
11:01:08,40,24,,,,
11:01:09,40,24,,,,
11:01:10,40,24,,,,
11:01:11,22,24,,,,
11:01:12,22,24,,,,
11:01:13,22,24,,,,
11:01:14,22,24,,,,
11:01:15,22,24,,,,
11:01:16,22,24,,,,
11:01:17,22,24,,,,
11:01:18,22,24,,,,
11:01:19,22,24,,,,
11:01:20,22,24,,,,
11:01:21,22,24,,,,
11:01:22,22,24,,,,
11:01:23,22,24,,,,
11:01:24,22,72,,,,
11:01:25,153,511,800,,,
11:01:26,885,481,,,,
11:01:27,915,305,,,,
11:01:28,915,305,,,,
11:01:29,915,297,,,,
11:01:30,915,297,,,,
11:01:31,915,297,,,,
11:01:32,915,297,,,,
11:01:33,915,297,,,,
11:01:34,915,297,,,,
11:01:35,915,311,,,,
11:01:36,915,311,,,,
11:01:37,915,285,,,,
11:01:38,915,285,,,,
11:01:39,915,285,,,,
11:01:40,919,285,,,,
11:01:41,919,285,,,,
11:01:42,919,289,,,,
11:01:43,919,289,,,,
11:01:44,919,289,,,,
11:01:45,919,289,,,,
11:01:46,919,289,,,,
11:01:47,919,309,,,,
11:01:48,919,309,,,,
11:01:49,919,309,,,,
11:01:50,921,309,,,,
11:01:51,921,309,,,,
11:01:52,921,309,,,,
11:01:53,921,309,,,,
11:01:54,921,309,,,,
11:01:55,921,309,,,,
11:01:56,933,309,,,,
11:01:57,933,309,,,,
11:01:58,933,309,,,,
11:01:59,933,309,,,,
11:02:00,933,309,,,,
11:02:01,933,309,,,,
11:02:02,933,309,,,,
11:02:03,933,309,,,,
11:02:04,931,309,,,,
11:02:05,931,309,,,,
11:02:06,931,309,,,,
11:02:07,931,309,,,,
11:02:08,929,309,,,,
11:02:09,929,317,,,,
11:02:10,929,317,,,,
